citation_id,verification_status,verification_category,verification_subcategory,author_status,year_status,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
1,hallucinated,Not Verified,title_mismatch,mismatch,match,0.5875,0.25,supported,0.0,False,,lexical,lexical_top_1,arxiv,Towards an Understanding of Large Language Models in Software Engineering Tasks,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; overall_status=hallucinated.,"The abstract discusses the integration and evaluation of LLMs in software engineering tasks, which aligns with the context provided about the application of LLMs in software engineering.",likely_problematic,True
2,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Evaluating Large Language Models Trained on Code,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the evaluation of a large language model trained on code, which aligns with the context about the importance of large language models in modern software development and their usage in code generation.",strongly_supported_citation,False
3,hallucinated,Not Verified,title_mismatch,mismatch,match,0.3438,0.25,unsupported,0.0,False,,lexical,lexical_top_1,arxiv,"Ask, Reason, Assist: Robot Collaboration via Natural Language and Temporal Logic",Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; overall_status=hallucinated.,"The abstract discusses robot collaboration and conflict resolution in warehousing, which is unrelated to the context of code generation and security optimization.",likely_problematic,True
4,hallucinated,Not Verified,title_mismatch,mismatch,partial,0.46,0.1975,unclear,0.0,False,,lexical,lexical_top_1,arxiv,Examining the Use and Impact of an AI Code Assistant on Developer Productivity and Experience in the Enterprise,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=partial; overall_status=hallucinated.,"The abstract discusses the use of a specific AI code assistant (watsonx Code Assistant) in a corporate setting and does not directly address the impact of AI on developer experience in general, which is the focus of the cited paper.",likely_problematic,True
5,hallucinated,Not Verified,title_mismatch,mismatch,match,0.5062,0.25,supported,0.8,False,,lexical,lexical_top_1,arxiv,"Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook -- a Grey Literature Review",Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; overall_status=hallucinated.,"The abstract discusses vibe coding, its motivations, and the associated challenges, which aligns well with the expanded context provided.",likely_problematic,True
6,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.8,False,,exact,arxiv_id_exact,arxiv,Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,The abstract directly addresses the safety concerns of vibe coding by presenting a benchmark and evaluation results showing poor security performance of agent-generated code. This aligns well with the context provided.,strongly_supported_citation,False
7,verified,Verified,strong_metadata_match,match,match,1.0,0.9,supported,0.0,False,,lexical,lexical_top_1,arxiv,Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,"The abstract directly supports the context by discussing security vulnerabilities in AI-generated code and providing specific details about the analysis conducted on GitHub repositories, which aligns with the concerns raised in the expanded context.",strongly_supported_citation,False
8,partially_verified,Partially Verified,author/year mismatch,match,partial,0.97,0.8475,supported,0.0,False,,lexical,lexical_top_1,arxiv,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,Selected candidate came from lexical; title=exact; authors=exact; year=partial; overall_status=partially_verified.,"The abstract discusses package hallucinations caused by code-generating LLMs, which aligns with the cited context about security vulnerabilities and insecure patterns introduced by LLM-generated code.",promising_but_needs_review,True
9,verified,Verified,strong_metadata_match,match,match,1.0,0.9,supported,0.0,False,,lexical,lexical_top_1,arxiv,Large Language Models for Code: Security Hardening and Adversarial Testing,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,"The abstract discusses security hardening and adversarial testing of large language models for code, which aligns with the expanded context mentioning these topics.",strongly_supported_citation,False
10,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Instruction Tuning for Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the importance of security in generated code and introduces SafeCoder, a method for performing security-centric fine-tuning. This aligns with the context provided, which emphasizes the need for secure code generation and mentions the limitations of current approaches.",strongly_supported_citation,False
11,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.8,False,,exact,arxiv_id_exact,arxiv,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the risks associated with fine-tuning LLMs, including the potential compromise of safety even without malicious intent, which aligns with the context provided.",strongly_supported_citation,False
12,partially_verified,Partially Verified,author/year mismatch,match,partial,0.8771,0.7475,supported,0.8,False,,lexical,lexical_top_1,arxiv,LoRA: Low-Rank Adaptation of Large Language Models,Selected candidate came from lexical; title=partial; authors=exact; year=partial; overall_status=partially_verified.,The abstract directly addresses the issue of full-parameter fine-tuning being computationally expensive and introduces LoRA as a solution that significantly reduces the number of trainable parameters while maintaining model quality. This aligns well with the context provided.,promising_but_needs_review,True
