citation_id,verification_status,verification_category,verification_subcategory,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
1,verified,Verified,exact_identifier_match,0.99,0.92,unclear,0.0,False,,exact,arxiv_id_exact,arxiv,Evaluating Large Language Models Trained on Code,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract focuses on the capabilities and limitations of Codex in generating Python code, while the context discusses improvements in security and efficiency of code generation through neuron-level optimization. There is no direct connection between the two.",needs_manual_review,True
4,hallucinated,Not Verified,title_mismatch,0.5062,0.2,supported,0.8,False,,lexical,lexical_top_1,arxiv,"Vibe Coding in Practice: Motivations, Challenges, and a Future Outlook -- a Grey Literature Review",Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; venue=mismatch; overall_status=hallucinated.,"The abstract discusses vibe coding, which aligns with the context mentioning informal, exploratory usage of code-specialized models. The abstract also covers the motivations, challenges, and QA practices related to vibe coding, which supports the discussion on neuron-level optimization and its impact on security and efficiency.",likely_problematic,True
5,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.8,False,,exact,arxiv_id_exact,arxiv,Is Vibe Coding Safe? Benchmarking Vulnerability of Agent-Generated Code in Real-World Tasks,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,The abstract directly addresses the safety concerns of vibe coding by presenting a benchmark and evaluation results showing poor security performance of agent-generated code. It aligns well with the context provided.,strongly_supported_citation,False
6,partially_verified,Partially Verified,venue_mismatch,0.9187,0.8,supported,0.0,False,,lexical,lexical_top_1,arxiv,Security Vulnerabilities in AI-Generated Code: A Large-Scale Analysis of Public GitHub Repositories,Selected candidate came from lexical; title=exact; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,"The abstract directly supports the context by discussing a large-scale analysis of security vulnerabilities in AI-generated code from public GitHub repositories, which aligns with the expanded context mentioning the increasing adoption of code-specialized models and the associated security concerns.",promising_but_needs_review,True
7,partially_verified,Partially Verified,venue_mismatch,0.97,0.765,supported,0.95,False,,lexical,lexical_top_1,arxiv,We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,Selected candidate came from lexical; title=exact; authors=exact; year=partial; venue=mismatch; overall_status=partially_verified.,"The abstract discusses package hallucinations caused by code-generating LLMs, which aligns with the cited context about security vulnerabilities and insecure patterns introduced by LLM-generated code.",promising_but_needs_review,True
8,partially_verified,Partially Verified,venue_mismatch,1.0,0.8,supported,0.0,False,,lexical,lexical_top_1,arxiv,Large Language Models for Code: Security Hardening and Adversarial Testing,Selected candidate came from lexical; title=exact; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,"The abstract discusses the security issues in LLM-generated code and introduces methods for security hardening and adversarial testing, aligning with the context provided.",promising_but_needs_review,True
9,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.8,False,,exact,arxiv_id_exact,arxiv,Instruction Tuning for Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses the importance of security in generated code and introduces SafeCoder, a method for performing security-centric fine-tuning. This aligns well with the context provided, which highlights the need for mitigating the computational costs and fragility of full-parameter fine-tuning and explores parameter-efficient methods and representation-level interventions.",strongly_supported_citation,False
10,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses the risks associated with fine-tuning LLMs, including the potential degradation of safety alignment even without malicious intent, which aligns with the context provided.",strongly_supported_citation,False
11,partially_verified,Partially Verified,minor_title_mismatch,0.8771,0.7275,supported,0.8,False,,lexical,lexical_top_1,arxiv,LoRA: Low-Rank Adaptation of Large Language Models,Selected candidate came from lexical; title=partial; authors=exact; year=partial; venue=unknown; overall_status=partially_verified.,"The abstract discusses LoRA (Low-Rank Adaptation) as a method to adapt large language models with significantly fewer trainable parameters compared to full fine-tuning, which aligns with the context provided about parameter-efficient methods like LoRA reducing training cost while operating at coarse granularity.",promising_but_needs_review,True
12,hallucinated,Not Verified,title_mismatch,0.6417,0.2,supported,0.8,False,,lexical,lexical_top_1,arxiv,PEFTT: Parameter-Efficient Fine-Tuning for low-resource Tibetan pre-trained language models,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; venue=mismatch; overall_status=hallucinated.,"The abstract discusses parameter-efficient fine-tuning methods for low-resource languages, aligning with the citation's focus on reducing computational costs and improving robustness in fine-tuning large-scale pre-trained language models.",likely_problematic,True
13,verified,Verified,exact_identifier_match,0.99,0.92,unsupported,0.0,False,,exact,arxiv_id_exact,arxiv,Code Llama: Open Foundation Models for Code,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract does not discuss the computational expenses or fragilities associated with full-parameter fine-tuning, nor does it address the challenges in reasoning about robustness or ensuring generalization of security improvements.",bibliographically_valid_but_semantically_unsupported,True
14,hallucinated,Not Verified,title_mismatch,0.395,0.165,supported,0.0,False,,lexical,lexical_top_1,arxiv,PEFT-Factory: Unified Parameter-Efficient Fine-Tuning of Autoregressive Large Language Models,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=partial; venue=mismatch; overall_status=hallucinated.,"The abstract discusses PEFT methods for fine-tuning LLMs, which aligns with the citation's focus on parameter-efficient fine-tuning methods for pretrained language models.",likely_problematic,True
15,verified,Verified,exact_identifier_match,0.99,0.92,unsupported,0.0,False,,exact,arxiv_id_exact,arxiv,Parameter-Efficient Fine-Tuning for Foundation Models,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract does not discuss parameter-efficient fine-tuning methods such as adapters, prefix/prompt tuning, or low-rank adaptation techniques, which are central to the expanded context provided.",bibliographically_valid_but_semantically_unsupported,True
16,hallucinated,Not Verified,title_mismatch,0.425,0.2,unsupported,0.0,False,,lexical,lexical_top_1,arxiv,Evolution systems: A framework for studying generic mathematical structures,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; venue=mismatch; overall_status=hallucinated.,"The abstract discusses evolution systems and their properties, which is unrelated to the context about PEFT methods and transformer circuits.",likely_problematic,True
18,partially_verified,Partially Verified,venue_mismatch,0.8375,0.8,supported,0.0,False,,lexical,lexical_top_1,arxiv,A Survey on LLM-as-a-Judge,Selected candidate came from lexical; title=exact; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,"The abstract discusses the use of LLMs as evaluators for complex tasks, which aligns with the context of using a fine-tuned LLM to evaluate code security.",promising_but_needs_review,True
19,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,"Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge",Selected candidate came from exact; title=exact; authors=partial; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses the creation of ARC, a new challenge for advanced question answering, which aligns with the context of evaluating models' capabilities in complex reasoning tasks.",strongly_supported_citation,False
20,verified,Verified,exact_identifier_match,0.99,0.92,unsupported,0.0,False,,exact,arxiv_id_exact,arxiv,Training Verifiers to Solve Math Word Problems,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract focuses on training verifiers to solve math word problems and improving performance on the GSM8K benchmark, which is unrelated to the context about security optimization and model benchmarks.",bibliographically_valid_but_semantically_unsupported,True
