citation_id,verification_status,verification_category,verification_subcategory,author_status,year_status,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
1,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,semantic_error,exact,title_year_exact,openalex,Large Language Models: A Survey,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,semantic_error: ,needs_manual_review,True
2,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,A Survey on Large Language Models with some Insights on their Capabilities and Limitations.,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
3,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Challenges and Applications of Large Language Models.,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
4,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Ignore Previous Prompt: Attack Techniques For Language Models.,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
5,partially_verified,Partially Verified,author/year mismatch,partial,match,0.93,0.8125,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Prompt Packer: Deceiving LLMs through Compositional Instruction with Hidden Attacks.,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
6,partially_verified,Partially Verified,author/year mismatch,match,partial,0.8825,0.7475,skipped,0.0,True,semantic_error,lexical,lexical_top_1,openalex,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",Selected candidate came from lexical; title=partial; authors=exact; year=partial; overall_status=partially_verified.,semantic_error: ,needs_manual_review,True
7,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,semantic_error,exact,title_year_exact,openalex,GUARD: Role-playing to Generate Natural-language Jailbreakings to Test Guideline Adherence of Large Language Models,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,semantic_error: ,needs_manual_review,True
8,partially_verified,Partially Verified,author/year mismatch,partial,match,0.93,0.8125,skipped,0.0,True,semantic_error,exact,title_year_exact,openalex,GPTFUZZER: Red Teaming Large Language Models with Auto-Generated Jailbreak Prompts,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=partially_verified.,semantic_error: ,needs_manual_review,True
9,partially_verified,Partially Verified,author/year mismatch,partial,match,0.95,0.8125,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,LLM-Fuzzer: Scaling Assessment of Large Language Model Jailbreaks.,Selected candidate came from lexical; title=exact; authors=partial; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
10,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,semantic_error,exact,title_year_exact,openalex,HotFlip: White-Box Adversarial Examples for Text Classification,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,semantic_error: ,needs_manual_review,True
11,partially_verified,Partially Verified,author/year mismatch,match,mismatch,0.88,0.725,skipped,0.0,True,no_candidate_abstract,exact,title_exact,dblp,AutoPrompt: Eliciting Knowledge from Language Models with Automatically Generated Prompts.,Selected candidate came from exact; title=exact; authors=exact; year=mismatch; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
12,verified,Verified,strong_metadata_match,match,match,0.93,0.875,skipped,0.0,True,semantic_error,exact,title_year_exact,openalex,The Power of Scale for Parameter-Efficient Prompt Tuning,Selected candidate came from exact; title=exact; authors=exact; year=exact; overall_status=verified.,semantic_error: ,needs_manual_review,True
13,partially_verified,Partially Verified,author/year mismatch,partial,match,1.0,0.8125,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,COLD Decoding: Energy-based Constrained Text Generation with Langevin Dynamics.,Selected candidate came from lexical; title=exact; authors=partial; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
14,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Hard Prompts Made Easy: Gradient-Based Discrete Optimization for Prompt Tuning and Discovery.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
