citation_id,verification_status,verification_category,verification_subcategory,author_status,year_status,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
1,partially_verified,Partially Verified,author/year mismatch,match,mismatch,1.0,0.75,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,crossref,Large language models in medicine,Selected candidate came from lexical; title=exact; authors=exact; year=mismatch; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
2,partially_verified,Partially Verified,minor_title_mismatch,match,match,0.9125,0.8,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Fin-R1: A Large Language Model for Financial Reasoning through Reinforcement Learning.,Selected candidate came from lexical; title=partial; authors=exact; year=exact; arxiv_id=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
3,verified,Verified,strong_metadata_match,match,match,0.93,0.9,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Challenges and Applications of Large Language Models.,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
4,hallucinated,Not Verified,title_mismatch,match,match,0.9125,0.5,skipped,0.0,True,semantic_error,lexical,lexical_top_1,openalex,Jailbroken: How Does LLM Safety Training Fail?,Selected candidate came from lexical; title=mismatch; authors=exact; year=exact; overall_status=hallucinated.,semantic_error: ,likely_problematic,True
5,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Training language models to follow instructions with human feedback.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
6,partially_verified,Partially Verified,author/year mismatch,partial,match,0.93,0.8125,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
7,partially_verified,Partially Verified,author/year mismatch,partial,match,0.93,0.8125,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Jailbreaking Attack against Multimodal Large Language Model.,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
8,partially_verified,Partially Verified,author/year mismatch,match,partial,0.97,0.7475,skipped,0.0,True,semantic_error,lexical,lexical_top_1,openalex,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",Selected candidate came from lexical; title=partial; authors=exact; year=partial; overall_status=partially_verified.,semantic_error: ,needs_manual_review,True
9,partially_verified,Partially Verified,author/year mismatch,partial,partial,0.88,0.735,skipped,0.0,True,no_candidate_abstract,exact,title_exact,dblp,Safety Layers in Aligned Large Language Models: The Key to LLM Security.,Selected candidate came from exact; title=exact; authors=partial; year=partial; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
10,partially_verified,Partially Verified,author/year mismatch,partial,match,0.93,0.8125,skipped,0.0,True,no_candidate_abstract,exact,title_year_exact,dblp,Finding Safety Neurons in Large Language Models.,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
